"d","Country","Deposit_Name","Resource_Type","Latitude","Longitude","Status","Status_Delay","Grade_percLi_Reserve","grade_resource","grade_resource_inferred","open_mine","reserve","resource_demostrated","resource_inferred","all_resource","cost1","cost2","cost3","max_prod_rate","max_ramp_up","cost_expansion","cost_opening","cost_source","prod_rate2022","prod_rate2023","prod_rate2025","prod_rate2030","delay_years","Resource_Type_orig","edb","wgi","Corporate_Tax_Rate","cost1_noTax","cost2_noTax","cost3_noTax","label_name"
33,"United States","Zeus (Noram)","Volcano-Sedimentary",37.7727374,-117.5011243,"Evaluation","Evaluation",NA,0.0941646390879754,0.0871,FALSE,0,972.079,0,972.079,42725.13269125,47884.0959041203,54997.4839005816,29.16237,7.2905925,82730.3782542635,2.5e+08,"Report",0,0,0,0,8,"Volcano-Sedimentary",16,2.54,0.25,18698.022255,25576.6398721604,35061.1572007754,"Zeus (Noram)"
34,"Canada","Boardwalk","Brine",54.36,-116.91,"Evaluation","Evaluation",NA,NA,NA,FALSE,0,0,0,0,45550.9216577039,46981.5640949414,49695.1335541713,0,0,56955.8377136237,199701729.182192,"Report",0,0,0,0,8,"Brine",20.4,1.73,0.265,23590.50565674,25536.9579523011,29228.8891893487,"Boardwalk"
35,"Argentina","Salar de Cauchari (Allkem)","Brine",-23.77,-66.8,"Evaluation","Evaluation",0.0501,0.0482988023952096,0.0473,FALSE,212,623,0,835,53444.7318767249,53463.8624494077,53474.4707589937,8.35,2.0875,56955.8377136237,199701729.182192,"Report",0,0,0,0,8,"Brine",41,2.51,0.35,19984.5105795768,20013.9422298579,20030.2627061441,"Salar de Cauchari (Allkem)"
36,"Tanzania","Titan 2","Volcano-Sedimentary",-3.97,37.25,"No info","No Info",NA,NA,NA,FALSE,0,0,0,0,59418.5098945064,63167.138728161,70929.9698858896,0,0,82730.3782542635,2.5e+08,"Quantile",0,0,0,0,10,"Volcano-Sedimentary",45.5,2.77,0.3,34695.2998492949,40050.4838973728,51140.242694128,"Titan 2"
37,"Australia","Kathleen Valley","Hard Rock",-27.48,120.55,"Construction","Construction",0.622463186077644,0.643587384921436,0.603882195448461,TRUE,426.082089692102,404.251587696581,0,830.333677388683,59928.5650861329,64895.2513090995,65970.0482167595,41.5166838694341,10.3791709673585,19102.9684159287,0,"Regression",0,0,15.2534285177531,16.9481495397332,5,"Hard Rock",18.8,1.57,0.3,32382.2358373327,39477.5018701421,41012.9260239421,""
38,"Afghanistan","Nuristan","Hard Rock",35.38,71,"No info","No Info",NA,NA,NA,FALSE,0,0,0,0,57009.8920082616,64591.1427952698,68231.0926214856,0,0,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",55.9,5.05,0.2,34666.740010327,44143.3034940873,48693.240776857,""
39,"Argentina","Diablillios/Sal de Los Angeles","Brine",-25.24,-66.76,"Construction","Construction",NA,NA,0.0556,TRUE,0,0,0,0,55622.1356631927,58127.6103638159,59264.0475093097,9.39319932368965,2.34829983092241,56955.8377136237,0,"Quantile",0,0,3.75727972947586,9.39319932368965,5,"Brine",41,2.51,0.35,23334.3625587579,27188.9390212552,28937.3038604765,""
40,"Argentina","Pastos Grandes (Lithium Americas)","Brine",-24.53,-66.73,"Evaluation","Evaluation",0.0439,NA,NA,FALSE,177,593.276123443422,0,770.276123443422,53564.1136147814,54681.5253045926,57185.693696562,7.70276123443422,1.92569030860855,56955.8377136237,199701729.182192,"Report",0,0,0,0,8,"Brine",41,2.51,0.35,20168.1747919714,21887.2696993732,25739.8364562492,""
41,"Peru","Falchani","Volcano-Sedimentary",-13.998,-70.669,"Evaluation","Evaluation",NA,0.2954,0.2706,FALSE,0,180.357336220899,0,180.357336220899,58462.1232960535,64732.0025581781,69385.8878905184,5.41072008662696,1.35268002165674,82730.3782542635,2.5e+08,"Quantile",0,0,0,0,8,"Other (Volcanic Rock)",31.3,2.95,0.295,34282.7417985768,43711.1316664332,50709.4554744638,""
42,"Chile","Salar de Tambo","Brine",-19.09,-68.9,"No info","No Info",NA,NA,0.0588,FALSE,0,0,0,0,52307.8229168424,53805.5335205353,56215.7256390558,0,0,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",27.4,2.38,0.27,23148.9583336038,25453.1284931313,29161.1163677781,""
43,"Chile","Salar La Isla","Brine",-25.74,-68.64,"No info","No Info",NA,NA,0.0841,FALSE,0,0,0,0,52318.2203748255,55304.7459357655,55996.0275618879,0,0,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",27.4,2.38,0.27,23164.9544228085,27759.6091319469,28823.1193259814,""
44,"Chile","Salar de Pedernales","Brine",-26.2,-69.12,"No info","No Info",NA,NA,0.05,FALSE,0,0,0,0,52606.7547008559,53667.4428744906,56418.0137669044,0,0,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",27.4,2.38,0.27,23608.8533859322,25240.6813453701,29472.3288721607,""
45,"Argentina","Arizaro","Brine",-24.37,-67.22,"Evaluation","Evaluation",NA,NA,0.0362,FALSE,0,0,0,0,56996.989650414,58228.1554799659,60621.3802928379,0,0,56955.8377136237,199701729.182192,"Report",0,0,0,0,8,"Brine",41,2.51,0.35,25449.5225390984,27343.6238153322,31025.5081428275,""
46,"Canada","Exshaw","Brine",52.382,-113.387,"No info","No Info",NA,NA,0.0075,FALSE,0,0,0,0,45756.8800626769,48379.1425912816,50111.0444002212,0,0,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Other (Oilfield)",20.4,1.73,0.265,23870.72117371,27438.4252942607,29794.7542860152,""
47,"Mali","Goulamina","Hard Rock",11.34,-7.96,"Construction","Construction",0.701432396251673,0.688777104965631,0.641044176706827,TRUE,364.651941097724,83.3291195761191,0,447.981060673843,50542.8500633067,50900.7883847633,52250.851677104,22.3990530336922,5.59976325842304,19102.9684159287,0,"Report",0,0,18.2136013526207,20.2374600789029,5,"Hard Rock",47.1,4.98,0.2686,25641.0911448,26130.4790603819,27976.3408218539,"Goulamina"
48,"Canada","Corvette","Hard Rock",53.55,-73.93,"No info","No Info",NA,NA,0.659625167336011,FALSE,0,0,0,0,53070.3051097064,58723.8631182736,63422.9279552581,0,0,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",20.4,1.73,0.265,33820.9593329339,41512.8749908485,47906.1604833443,""
49,"Chile","Salar de Cancosa","Brine",-19.91,-68.59,"No info","No Info",NA,NA,0.0322,FALSE,0,0,0,0,52515.8635844138,53736.5429837287,56131.1023815029,0,0,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",27.4,2.38,0.27,23469.0208990982,25346.9892057365,29030.9267407736,""
