"d","Country","Deposit_Name","Resource_Type","Latitude","Longitude","Status","Status_Delay","Grade_percLi_Reserve","grade_resource","grade_resource_inferred","open_mine","reserve","resource_demostrated","resource_inferred","all_resource","cost1","cost2","cost3","max_prod_rate","max_ramp_up","cost_expansion","cost_opening","cost_source","prod_rate2022","prod_rate2023","prod_rate2025","prod_rate2030","delay_years","Resource_Type_orig","edb","wgi","Corporate_Tax_Rate","cost1_noTax","cost2_noTax","cost3_noTax","label_name","wcr"
62,"Canada","Barraute","Hard Rock",48.44,-77.64,"No info","No Info",NA,NA,NA,FALSE,0,0,370.26788,370.26788,52864.1044769683,59827.8863172602,63197.4457868134,18.513394,4.6283485,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",20.4,1.73,0.265,33540.4142543787,43014.947370422,47599.3820228754,"",22.3
63,"Zimbabwe","Arcadia","Hard Rock",-17.78,31.41,"Producing","Open",0.552784471218206,0.499568393007426,0.459879518072289,TRUE,234.120481927711,68.4622486271993,55.1942440100162,357.776974564926,52435.32374085,53978.7476535659,55129.8425989891,17.8888487282463,4.47221218206158,19102.9684159287,0,"Report",0.361275582443043,1.1925601750547,4.09543490512869,4.09543490512869,3,"Hard Rock",45.5,3.38,0.25,27329.7649878,29387.6635380878,30922.4567986522,"Arcadia",80
64,"Chile","Salar de Surire","Brine",-18.91,-69.09,"No info","No Info",NA,NA,0.0253,FALSE,0,0,350.475824038982,350.475824038982,52739.574636212,53994.9995685351,56509.8249689806,3.50475824038982,0.876189560097456,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",27.4,2.38,0.27,23813.1917480185,25744.6147208233,29613.5768753547,"",40.3
65,"Chile","Laguna Verde","Brine",-26.88,-68.47,"Evaluation","Evaluation",NA,0.0196272727272727,0.0208,FALSE,0,206.659447753113,131.510557661072,338.170005414185,52677.1492470731,53601.0797940636,56385.8871505126,10.1451001624256,2.53627504060639,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,8,"Brine",27.4,2.38,0.27,23717.1526878047,25138.5842985593,29422.9033084809,"",40.3
66,"China","Zhabuye","Brine",30.9,84.15,"Producing","Open",NA,NA,NA,TRUE,0,0,335.840389821332,335.840389821332,45964.1294848206,47103.4011876636,50275.6280894527,3.35840389821332,0.83960097455333,56955.8377136237,0,"Report",1.38807832348637,2.02684002986948,2.02684002986948,2.02684002986948,3,"Brine",22.1,2.94,0.25,18701.5059797608,20220.5349168848,24450.170785937,"",19
67,"China","Dahongliu","Hard Rock",35.48,79.17,"Producing","Open",NA,NA,NA,TRUE,0,0,316.348797858099,316.348797858099,56924.8172933396,63119.6604979216,67430.6678697727,15.817439892905,3.95435997322624,19102.9684159287,0,"Quantile",0,0,0,0,3,"Hard Rock",22.1,2.94,0.25,33315.7563911195,41575.5473305621,47323.5571596969,"",19
68,"Spain","San Jose/Valdeflores","Hard Rock",39.45209,-6.347678,"Evaluation","Evaluation",0.38091030789826,0.292650602409639,0.274069611780455,FALSE,141.698634538153,29.4200751392667,140.921290322581,312.04,54150.9429970221,56710.7359122543,57249.6396838821,15.602,3.9005,19102.9684159287,126053693.925837,"Report",0,0,0,0,8,"Hard Rock",22.1,2.23,0.25,36714.5906626962,40127.6478830057,40846.1862451762,"",37.2
69,"Argentina","Hombre Muerto North (Lithium South)","Brine",-25.32,-66.9,"Construction","Construction",NA,0.0743416274377942,0,TRUE,0,297.4,0,297.4,50392.2092916283,51975.0310655356,52764.6156748355,2.974,0.7435,56955.8377136237,0,"Report",0,0,0,0,5,"Brine",41,2.51,0.35,15288.3219871205,17723.4324085163,18938.1779612854,"",64.1
70,"United States","Green River","Brine",38.84,-110.23,"No info","No Info",NA,NA,NA,FALSE,0,0,295,295,46852.5875393735,48721.143065379,51136.0955017266,2.95,0.7375,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",16,2.54,0.25,23292.8367191647,25784.244087172,29004.1806689688,"",16.5
71,"United States","Silver Peak","Brine",37.762686,-117.622147,"Producing","Open",NA,NA,NA,TRUE,0,0,293.28,293.28,46546.965807403,48675.2858738698,51165.2085312906,3.75727972947586,0.939319932368965,56955.8377136237,0,"Quantile",0,0,1.87863986473793,3.75727972947586,3,"Brine",16,2.54,0.25,23793.7997432039,26631.5598318265,29951.4567083874,"",16.5
